,기간,자치구,지역내총생산(당해년가격),구성비
101,2013.0,도봉구,2508058.0,0.8
102,2014.0,도봉구,2571708.0,0.8
103,2015.0,도봉구,2636029.0,0.8
104,2016.0,도봉구,2816851.0,0.8
105,2010.0,강북구,2515479.0,0.9
106,2011.0,강북구,2610296.0,0.9
107,2012.0,강북구,2606319.0,0.8
108,2013.0,강북구,2642893.0,0.8
109,2014.0,강북구,2635236.0,0.8
110,2015.0,강북구,2618309.0,0.8
111,2016.0,강북구,2830150.0,0.8
112,2010.0,서초구,23225949.0,8.0
113,2011.0,서초구,24534807.0,8.1
114,2012.0,서초구,26148756.0,8.3
115,2013.0,서초구,26305693.0,8.3
116,2014.0,서초구,27286099.0,8.3
117,2015.0,서초구,28442584.0,8.3
118,2016.0,서초구,29493607.0,8.2
119,2010.0,동작구,4718267.0,1.6
120,2011.0,동작구,4855443.0,1.6
121,2012.0,동작구,4962630.0,1.6
122,2013.0,동작구,5105745.0,1.6
123,2014.0,동작구,5122308.0,1.6
124,2015.0,동작구,4892610.0,1.4
125,2016.0,동작구,5184807.0,1.4
126,2010.0,구로구,9595985.0,3.3
127,2011.0,구로구,9868528.0,3.2
128,2012.0,구로구,10398295.0,3.3
129,2013.0,구로구,10885864.0,3.4
130,2014.0,구로구,10757499.0,3.3
131,2015.0,구로구,11163275.0,3.2
132,2016.0,구로구,11964909.0,3.3
133,2010.0,서대문구,5516655.0,1.9
134,2011.0,서대문구,6146206.0,2.0
135,2012.0,서대문구,6832503.0,2.2
136,2013.0,서대문구,6894785.0,2.2
137,2014.0,서대문구,6860590.0,2.1
138,2015.0,서대문구,7227343.0,2.1
139,2016.0,서대문구,7452206.0,2.1
140,2010.0,성북구,4337944.0,1.5
141,2011.0,성북구,4520079.0,1.5
142,2012.0,성북구,4630451.0,1.5
143,2013.0,성북구,4882574.0,1.5
144,2014.0,성북구,4800257.0,1.5
145,2015.0,성북구,4938574.0,1.4
146,2016.0,성북구,5217211.0,1.5
147,2010.0,송파구,16929564.0,5.8
148,2011.0,송파구,18195240.0,6.0
149,2012.0,송파구,18617139.0,5.9
150,2013.0,송파구,18673676.0,5.9
151,2014.0,송파구,19757679.0,6.0
152,2015.0,송파구,20858285.0,6.1
153,2016.0,송파구,22002209.0,6.1
154,2010.0,강남구,46009396.0,15.9
155,2011.0,강남구,47455108.0,15.6
156,2012.0,강남구,49352022.0,15.7
157,2013.0,강남구,51171858.0,16.1
158,2014.0,강남구,54642788.0,16.6
159,2015.0,강남구,57968609.0,16.8
160,2016.0,강남구,59981514.0,16.7
161,2010.0,관악구,4470763.0,1.5
162,2011.0,관악구,4664688.0,1.5
163,2012.0,관악구,4776156.0,1.5
164,2013.0,관악구,4969358.0,1.6
165,2014.0,관악구,5156563.0,1.6
166,2015.0,관악구,5196230.0,1.5
167,2016.0,관악구,5358231.0,1.5
168,2010.0,동대문구,5665921.0,2.0
169,2011.0,동대문구,5858475.0,1.9
170,2012.0,동대문구,6301762.0,2.0
171,2013.0,동대문구,6521711.0,2.0
172,2014.0,동대문구,6610646.0,2.0
173,2015.0,동대문구,6688724.0,1.9
174,2016.0,동대문구,7180082.0,2.0
