,기간,자치구,총전입,총전출
276,2017년01월,동대문구,"3,727","4,200"
277,2017년02월,동대문구,"5,509","5,786"
278,2017년03월,동대문구,"4,758","5,087"
279,2017년04월,동대문구,"3,542","3,774"
280,2017년05월,동대문구,"3,793","4,301"
281,2017년06월,동대문구,"3,766","4,105"
282,2017년07월,동대문구,"3,574","3,961"
283,2017년08월,동대문구,"4,484","4,817"
284,2017년09월,동대문구,"3,867","4,307"
285,2017년10월,동대문구,"3,466","3,795"
286,2017년11월,동대문구,"3,874","4,491"
287,2017년12월,동대문구,"3,539","4,109"
288,2018년01월,동대문구,"3,838","4,364"
289,2018년02월,동대문구,"4,885","5,068"
290,2018년03월,동대문구,"4,918","5,502"
291,2018년04월,동대문구,"3,834","4,260"
292,2018년05월,동대문구,"3,874","4,343"
293,2018년06월,동대문구,"4,958","4,517"
294,2018년07월,동대문구,"5,756","4,788"
295,2018년08월,동대문구,"5,362","4,671"
296,2018년09월,동대문구,"3,522","3,597"
297,2018년10월,동대문구,"5,098","5,540"
298,2018년11월,동대문구,"4,672","5,562"
299,2018년12월,동대문구,"4,182","5,393"
300,2014년01월,강북구,"2,936","3,475"
301,2014년02월,강북구,"3,957","4,450"
302,2014년03월,강북구,"4,322","4,980"
303,2014년04월,강북구,"4,264","4,740"
304,2014년05월,강북구,"4,485","4,603"
305,2014년06월,강북구,"4,632","4,543"
306,2014년07월,강북구,"4,286","4,381"
307,2014년08월,강북구,"3,629","3,871"
308,2014년09월,강북구,"3,611","4,039"
309,2014년10월,강북구,"4,359","4,976"
310,2014년11월,강북구,"3,892","4,244"
311,2014년12월,강북구,"3,851","4,339"
312,2015년01월,강북구,"3,136","3,251"
313,2015년02월,강북구,"3,212","3,405"
314,2015년03월,강북구,"4,364","4,656"
315,2015년04월,강북구,"4,409","4,779"
316,2015년05월,강북구,"4,412","4,786"
317,2015년06월,강북구,"4,322","4,803"
318,2015년07월,강북구,"4,107","4,498"
319,2015년08월,강북구,"3,964","4,476"
320,2015년09월,강북구,"3,606","4,012"
