기간,자치구,동,합계,,,자영업주 및 무급가족,,상용근로자,,임시 및 일용근로자,,기타 종사자,
기간,자치구,동,사업체수,총종사자수,여성종사자수,소계,여성종사자수,소계,여성종사자수,소계,여성종사자수,소계,여성종사자수
2011,노원구,하계2동,400,"1,151",599,415,135,646,415,81,43,9,6
2011,노원구,중계본동,"1,172","4,310","2,078","1,263",515,"2,171","1,032",409,281,467,250
2011,노원구,중계1동,938,"3,882","2,129",917,370,"2,200","1,283",707,448,58,28
2011,노원구,중계4동,"1,017","3,143","1,527","1,117",474,"1,536",725,413,266,77,62
2011,노원구,상계1동,"2,883","8,013","3,183","2,939",783,"4,023","1,680",836,515,215,205
2011,노원구,상계2동,"2,215","8,651","4,908","2,395","1,115","4,492","2,674","1,393",863,371,256
2011,노원구,상계5동,"1,315","2,893","1,453","1,494",665,957,480,427,303,15,5
2011,노원구,상계8동,597,"1,717",935,631,246,905,552,126,86,55,51
2011,노원구,상계9동,749,"2,364","1,206",783,285,"1,274",728,193,128,114,65
2011,노원구,상계10동,475,"1,833",818,478,164,"1,150",498,154,119,51,37
2011,노원구,상계3.4동,"1,749","4,999","1,953","1,873",754,"2,636",829,382,274,108,96
2011,노원구,상계6.7동,"1,935","15,032","9,148","1,885",796,"8,022","4,400","1,819","1,103","3,306","2,849"
2011,노원구,중계2.3동,"1,238","4,776","2,635","1,290",564,"2,651","1,526",707,478,128,67
2011,노원구,공릉1동,"2,611","11,435","5,472","2,764","1,070","6,992","3,287","1,081",627,598,488
2011,은평구,소계,"23,055","78,623","39,299","25,222","11,002","39,208","19,916","10,342","5,273","3,851","3,108"
2011,은평구,녹번동,"1,517","7,725","3,412","1,584",697,"4,875","2,050",895,341,371,324
2011,은평구,불광1동,"1,597","6,280","3,632","1,695",783,"2,872","1,501","1,047",701,666,647
2011,은평구,갈현1동,"1,463","4,968","2,842","1,668",733,"2,318","1,319",453,279,529,511
2011,은평구,갈현2동,"1,522","5,173","2,933","1,752",825,"2,399","1,467",729,402,293,239
2011,은평구,구산동,"1,136","5,002","2,603","1,181",448,"2,877","1,485",917,653,27,17
2011,은평구,대조동,"2,512","7,289","4,224","2,838","1,395","3,277","2,052",788,504,386,273
2011,은평구,응암1동,"2,211","8,183","3,481","2,271",725,"3,391","1,921","2,144",505,377,330
2011,은평구,응암2동,762,"1,930",949,854,375,880,505,163,49,33,20
2011,은평구,신사1동,"1,253","3,689","1,793","1,445",649,"1,744",845,396,214,104,85
2011,은평구,신사2동,815,"2,512","1,028",870,325,"1,335",538,239,118,68,47
2011,은평구,증산동,"1,094","4,057","1,483","1,164",493,"2,332",780,274,127,287,83
2011,은평구,수색동,851,"2,658",998,977,444,"1,527",467,116,78,38,9
2011,은평구,진관동,835,"3,431","1,592",840,362,"2,224",980,335,228,32,22
2011,은평구,불광2동,"1,319","3,800","2,097","1,492",724,"1,732",943,226,148,350,282
2011,은평구,응암3동,"1,858","4,964","2,792","2,127","1,000","2,081","1,250",666,457,90,85
2011,은평구,역촌동,"2,310","6,962","3,440","2,464","1,024","3,344","1,813",954,469,200,134
2011,서대문구,소계,"18,116","94,280","44,456","19,340","8,309","56,468","27,066","12,489","5,807","5,983","3,274"
2011,서대문구,천연동,736,"2,403","1,233",880,412,"1,280",681,128,46,115,94
2011,서대문구,홍제1동,"1,062","3,676","1,893","1,093",476,"2,047","1,025",333,225,203,167
2011,서대문구,홍제3동,"1,146","3,369","1,881","1,315",615,"1,618",967,301,189,135,110
2011,서대문구,홍제2동,537,"1,539",730,556,280,778,316,154,92,51,42
2011,서대문구,홍은1동,"1,036","2,670","1,326","1,177",487,"1,340",726,126,87,27,26
2011,서대문구,홍은2동,"1,534","6,994","2,920","1,655",484,"3,677","1,593","1,369",644,293,199
2011,서대문구,남가좌1동,688,"1,477",898,831,474,476,281,53,42,117,101
2011,서대문구,남가좌2동,"1,476","3,868","1,933","1,731",760,"1,588",808,513,339,36,26
2011,서대문구,북가좌1동,412,"1,825",485,395,107,"1,388",369,39,6,3,3
2011,서대문구,북가좌2동,"1,755","4,922","2,128","1,891",693,"1,941",780,849,583,241,72
2011,서대문구,충현동,"1,509","19,624","7,867","1,214",539,"13,512","5,352","1,622",581,"3,276","1,395"
2011,서대문구,북아현동,719,"2,034",933,853,340,821,361,214,133,146,99
2011,서대문구,신촌동,"3,600","28,586","16,167","3,801","1,841","19,716","11,155","3,873","2,345","1,196",826
2011,서대문구,연희동,"1,906","11,293","4,062","1,948",801,"6,286","2,652","2,915",495,144,114
2011,마포구,소계,"30,420","201,682","88,033","26,123","11,004","143,728","61,211","22,669","10,333","9,162","5,485"
2011,마포구,용강동,"2,262","16,768","6,467","1,478",623,"13,277","4,963","1,658",691,355,190
2011,마포구,대흥동,"1,524","9,430","4,777","1,593",719,"6,341","3,035",574,343,922,680
2011,마포구,염리동,733,"4,677","2,440",773,341,"3,540","1,931",331,159,33,9
2011,마포구,신수동,"1,340","5,027","1,980","1,223",351,"3,568","1,538",200,85,36,6
2011,마포구,서교동,"7,592","49,039","22,524","5,850","2,447","33,223","15,411","8,014","3,351","1,952","1,315"
2011,마포구,합정동,"1,642","8,217","3,310","1,365",540,"5,682","2,383",874,270,296,117
2011,마포구,망원1동,"1,371","4,009","1,889","1,430",581,"1,753",822,711,401,115,85
2011,마포구,망원2동,"1,174","2,997","1,473","1,211",546,"1,531",772,139,77,116,78
2011,마포구,연남동,"1,107","4,788","1,841","1,053",439,"3,017","1,275",625,90,93,37
2011,마포구,성산1동,"1,455","7,764","3,312","1,093",379,"5,266","2,127","1,140",641,265,165
2011,마포구,성산2동,"1,654","8,839","3,886","1,641",667,"6,132","2,556",974,616,92,47
2011,마포구,상암동,"1,452","24,262","9,693","1,100",528,"20,835","7,944","1,062",661,"1,265",560
2011,마포구,도화동,"1,686","14,292","6,138","1,270",582,"9,671","3,997","2,244",941,"1,107",618
2011,마포구,서강동,"1,334","10,648","4,993","1,250",526,"7,117","3,296","1,631",833,650,338
2011,마포구,공덕동,"2,508","16,644","7,652","2,405","1,050","10,695","4,637","2,217",992,"1,327",973
2011,마포구,아현동,"1,586","14,281","5,658","1,388",685,"12,080","4,524",275,182,538,267
2011,양천구,소계,"25,275","107,890","48,973","25,908","10,802","63,145","27,501","13,614","7,392","5,223","3,278"
2011,양천구,목1동,"2,416","19,991","8,755","1,946",939,"14,105","5,496","2,926","1,620","1,014",700
2011,양천구,목2동,"1,198","3,777","1,874","1,264",558,"1,828",933,551,280,134,103
2011,양천구,목3동,"1,203","3,810","2,273","1,319",636,"1,484",866,553,384,454,387
2011,양천구,목4동,"1,363","4,011","2,109","1,611",792,"1,526",861,470,207,404,249
2011,양천구,신월1동,"1,719","4,836","1,980","1,936",806,"2,108",720,675,366,117,88
2011,양천구,신월2동,"1,068","3,521","1,471","1,107",373,"1,916",882,410,182,88,34
2011,양천구,신월3동,983,"4,152","1,592",991,375,"2,417",898,609,293,135,26
2011,양천구,신월4동,"1,118","3,720","1,453","1,169",442,"1,818",658,612,257,121,96
2011,양천구,신월5동,965,"3,700","1,738",996,393,"1,735",872,632,367,337,106
2011,양천구,신월6동,"1,609","3,527","1,051","1,645",343,"1,421",607,126,68,335,33
2011,양천구,신월7동,"1,399","5,652","1,893","1,528",587,"3,461",922,590,362,73,22
2011,양천구,신정1동,"1,158","4,698","2,356","1,285",614,"2,736","1,400",615,327,62,15
2011,양천구,신정2동,"1,103","3,814","1,965","1,176",543,"1,738",998,539,269,361,155
2011,양천구,신정3동,"1,924","8,049","2,810","1,876",677,"5,731","1,909",377,184,65,40
2011,양천구,신정6동,674,"5,491","2,454",642,323,"3,916","1,637",687,314,246,180
2011,양천구,신정7동,965,"4,068","1,807",996,436,"2,495","1,054",383,201,194,116
2011,양천구,목5동,"1,457","9,001","4,988","1,368",708,"6,339","3,575","1,121",610,173,95
2011,양천구,신정4동,"2,953","12,072","6,404","3,053","1,257","6,371","3,213","1,738","1,101",910,833
2011,강서구,소계,"31,069","163,250","72,326","30,485","12,495","108,385","46,335","17,813","9,705","6,567","3,791"
2011,강서구,염창동,"2,085","13,972","4,878","1,656",680,"10,483","3,564","1,574",528,259,106
2011,강서구,등촌1동,"2,691","10,323","3,454","2,448",575,"6,696","2,197",939,567,240,115
2011,강서구,등촌2동,710,"3,071","1,274",691,274,"2,178",897,171,91,31,12
2011,강서구,등촌3동,"2,178","15,836","7,241","1,767",721,"10,070","4,529","2,470","1,330","1,529",661
2011,강서구,화곡본동,"1,380","3,610","2,047","1,567",718,"1,586","1,034",344,223,113,72
2011,강서구,화곡2동,888,"2,556","1,261","1,040",430,"1,097",577,340,221,79,33
2011,강서구,화곡3동,"1,152","3,924","2,404","1,199",509,"1,557",974,467,290,701,631
2011,강서구,화곡4동,"1,466","3,714","1,814","1,798",820,"1,431",747,440,221,45,26
2011,강서구,화곡6동,"1,739","11,067","4,986","1,768",797,"6,260","2,234","1,797",887,"1,242","1,068"
2011,강서구,화곡8동,"1,218","2,954","1,452","1,351",593,"1,344",681,210,134,49,44
2011,강서구,가양1동,"1,030","5,759","1,885",909,327,"3,994","1,227",470,241,386,90
2011,강서구,가양2동,586,"2,830","1,562",524,224,"1,954","1,088",348,247,4,3
2011,강서구,가양3동,576,"3,836","1,407",459,133,"2,848",944,245,124,284,206
2011,강서구,발산1동,"2,103","10,413","4,431","2,084",916,"7,007","2,762",940,461,382,292
2011,강서구,공항동,"1,837","32,478","15,326","1,692",703,"29,270","13,744","1,406",785,110,94
2011,강서구,방화1동,"1,971","6,863","3,176","2,103",894,"3,867","1,934",494,319,399,29
2011,강서구,방화2동,"1,951","11,287","4,716","1,772",819,"7,556","2,612","1,867","1,237",92,48
2011,강서구,방화3동,862,"3,906","1,699",816,266,"2,526","1,084",547,342,17,7
2011,강서구,화곡1동,"3,041","8,803","4,272","3,220","1,407","3,533","1,788","1,886",955,164,122
2011,강서구,우장산동,"1,605","6,048","3,041","1,621",689,"3,128","1,718",858,502,441,132
2011,구로구,소계,"33,784","180,377","69,910","30,178","10,783","129,521","47,465","14,923","7,694","5,755","3,968"
2011,구로구,신도림동,"2,394","12,606","5,307","2,102",684,"8,379","3,560","1,779",786,346,277
2011,구로구,구로1동,660,"2,326",937,644,261,"1,551",611,99,52,32,13
2011,구로구,구로3동,"4,995","70,625","23,529","2,421",908,"63,040","19,880","3,681","1,917","1,483",824
2011,구로구,구로4동,"1,914","5,309","2,672","2,190","1,115","2,235","1,045",662,382,222,130
2011,구로구,구로5동,"4,464","23,371","11,027","3,793","1,146","14,927","6,893","2,610","1,329","2,041","1,659"
2011,구로구,고척1동,"2,408","8,166","3,046","2,339",699,"4,944","1,860",769,377,114,110
2011,구로구,고척2동,"1,415","3,598","1,727","1,567",657,"1,753",874,210,139,68,57
